+--------------------------+--------------------------+----------------------------------------------------------------------------------------------------------+
|       Launch Clock       |      Capture Clock       |                                                 Pin                                                      |
|       clk_uart_clk_wiz_0 |              sys_clk_pin |debug_ila/inst/ila_core_inst/u_trig/U_TM/N_DDR_MODE.G_NMU[2].U_M/allx_typeA_match_detection.ltlib_v1_0_0_allx_typeA_inst/probeDelay1_reg[9]/D|
|         clk100_clk_wiz_0 |              sys_clk_pin |                                             debug_ila/inst/ila_core_inst/shifted_data_in_reg[7][1]_srl8/D|
|         clk100_clk_wiz_0 |              sys_clk_pin |debug_ila/inst/ila_core_inst/u_trig/U_TM/N_DDR_MODE.G_NMU[1].U_M/allx_typeA_match_detection.ltlib_v1_0_0_allx_typeA_inst/probeDelay1_reg[0]/D|
|       clk_uart_clk_wiz_0 |         clk100_clk_wiz_0 |                                                                                       reset_cdc/ff1_reg/D|
|       clk_uart_clk_wiz_0 |         clk100_clk_wiz_0 |                                                                                   hex_display_reg[0][0]/D|
|       clk_uart_clk_wiz_0 |         clk100_clk_wiz_0 |                                                                                   hex_display_reg[1][0]/D|
|       clk_uart_clk_wiz_0 |         clk100_clk_wiz_0 |                                                                                   hex_display_reg[0][1]/D|
|       clk_uart_clk_wiz_0 |         clk100_clk_wiz_0 |                                                                                     opmode0_cdc/ff1_reg/D|
|       clk_uart_clk_wiz_0 |         clk100_clk_wiz_0 |                                                                                     opmode1_cdc/ff1_reg/D|
|         clk100_clk_wiz_0 |       clk_uart_clk_wiz_0 |                                                                                   comp_done_cdc/ff1_reg/D|
+--------------------------+--------------------------+----------------------------------------------------------------------------------------------------------+
